date,ym,order_count,late_count,late_rate,total_revenue,avg_delivery_days,late_rate_pct
2016-10-01,2016-10,265,3,0.0113207547169811,39916.11,19.13584905660377,1.13
2017-01-01,2017-01,750,23,0.0306666666666666,105280.37,12.092,3.07
2017-02-01,2017-02,1653,53,0.0320629159104658,215214.25,12.60617059891107,3.21
2017-03-01,2017-03,2546,142,0.0557737627651217,336360.78,12.3955223880597,5.58
2017-04-01,2017-04,2303,181,0.0785931393834129,315463.98,14.35258358662614,7.86
2017-05-01,2017-05,3545,128,0.0361071932299012,463819.86,10.760507757404795,3.61
2017-06-01,2017-06,3135,121,0.0385964912280701,397144.19,11.50622009569378,3.86
2017-07-01,2017-07,3872,133,0.034349173553719,472039.52,11.131198347107436,3.43
2017-08-01,2017-08,4193,139,0.0331504889100882,540339.28,10.700691628905318,3.32
2017-09-01,2017-09,4150,216,0.0520481927710843,572006.68,11.400722891566264,5.2
2017-10-01,2017-10,4478,237,0.0529254131308619,616887.6900000001,11.416927199642698,5.29
2017-11-01,2017-11,7288,1043,0.1431119648737651,950685.61,14.699506037321624,14.31
2017-12-01,2017-12,5513,462,0.0838019227280972,704359.62,14.936695084346091,8.38
2018-01-01,2018-01,7069,464,0.0656387042014429,901821.45,13.6372895741972,6.56
2018-02-01,2018-02,6555,1048,0.1598779557589626,808051.81,16.508619374523263,15.99
2018-03-01,2018-03,7003,1496,0.2136227331143795,926775.19,15.867485363415678,21.36
2018-04-01,2018-04,6798,361,0.0531038540747278,927772.93,11.048543689320388,5.31
2018-05-01,2018-05,6749,556,0.0823825751963253,924662.75,10.959105052600384,8.24
2018-06-01,2018-06,6096,83,0.0136154855643044,813967.29,8.774442257217848,1.36
2018-07-01,2018-07,6156,276,0.0448343079922027,819513.9,8.503736192332683,4.48
2018-08-01,2018-08,6351,660,0.1039206424185167,798873.66,7.286411588726184,10.39
